,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class,vehicle_size,policy_level
133,Arizona,No,Premium,College,Employed,M,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Small,3
134,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Corporate,Offer1,Web,Four-Door Car,Small,2
135,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal,Offer1,Agent,SUV,Medsize,3
136,Oregon,No,Basic,High School or Below,Employed,F,Rural,Married,Special,Offer1,Branch,Sports Car,Medsize,2
137,Washington,No,Basic,College,Unemployed,F,Suburban,Single,Personal,Offer2,Agent,Four-Door Car,Small,2
138,Oregon,No,Extended,College,Employed,F,Urban,Married,Personal,Offer4,Branch,Four-Door Car,Medsize,3
139,Arizona,No,Extended,Bachelor,Employed,F,Urban,Single,Special,Offer3,Branch,Four-Door Car,Small,3
140,Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Personal,Offer4,Web,Two-Door Car,Large,1
141,Arizona,No,Premium,Master,Employed,M,Urban,Married,Personal,Offer1,Call Center,SUV,Medsize,2
142,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal,Offer3,Branch,Sports Car,Medsize,2
143,Washington,No,Premium,High School or Below,Employed,M,Suburban,Married,Corporate,Offer3,Agent,SUV,Medsize,3
144,Oregon,Yes,Extended,High School or Below,Unemployed,F,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Large,1
145,Nevada,No,Extended,Bachelor,Employed,M,Urban,Married,Corporate,Offer4,Web,Four-Door Car,Medsize,2
146,California,No,Basic,College,Unemployed,F,Suburban,Married,Corporate,Offer1,Call Center,Four-Door Car,Medsize,3
147,Arizona,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Corporate,Offer1,Call Center,Two-Door Car,Medsize,2
148,Arizona,No,Extended,High School or Below,Employed,F,Rural,Married,Personal,Offer2,Web,Four-Door Car,Medsize,3
149,Oregon,Yes,Premium,College,Unemployed,M,Suburban,Married,Corporate,Offer1,Branch,Four-Door Car,Large,2
150,Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal,Offer4,Branch,Four-Door Car,Small,2
151,Washington,Yes,Basic,High School or Below,Employed,M,Rural,Married,Personal,Offer2,Agent,Sports Car,Medsize,3
152,Arizona,No,Extended,High School or Below,Disabled,M,Suburban,Married,Personal,Offer4,Agent,SUV,Medsize,3
153,Arizona,No,Extended,Bachelor,Medical Leave,F,Rural,Married,Personal,Offer1,Branch,SUV,Medsize,1
154,California,No,Basic,Bachelor,Employed,F,Urban,Single,Personal,Offer2,Branch,Four-Door Car,Medsize,3
155,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Offer2,Web,Four-Door Car,Small,2
156,Oregon,No,Extended,College,Employed,M,Rural,Single,Personal,Offer3,Agent,Four-Door Car,Medsize,2
157,Oregon,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal,Offer2,Agent,Four-Door Car,Small,2
158,Arizona,Yes,Basic,College,Retired,M,Suburban,Married,Personal,Offer2,Agent,Sports Car,Medsize,3
159,Arizona,No,Basic,Bachelor,Employed,F,Rural,Married,Personal,Offer1,Web,Two-Door Car,Large,2
160,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate,Offer2,Agent,Two-Door Car,Medsize,3
161,Washington,No,Basic,College,Employed,F,Urban,Married,Personal,Offer1,Agent,SUV,Medsize,1
162,California,Yes,Basic,College,Unemployed,F,Suburban,Divorced,Personal,Offer1,Agent,SUV,Medsize,3
163,Washington,Yes,Basic,Bachelor,Retired,F,Suburban,Single,Personal,Offer1,Branch,Four-Door Car,Medsize,1
164,California,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal,Offer1,Agent,Four-Door Car,Medsize,3
165,Oregon,No,Basic,Master,Medical Leave,M,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Small,3
166,California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal,Offer1,Agent,Four-Door Car,Small,3
167,California,Yes,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal,Offer1,Agent,Four-Door Car,Small,1
168,Oregon,No,Extended,High School or Below,Employed,F,Urban,Divorced,Personal,Offer3,Agent,Four-Door Car,Medsize,2
169,California,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,2
170,California,No,Basic,College,Medical Leave,M,Suburban,Married,Personal,Offer4,Branch,Four-Door Car,Medsize,1
171,Oregon,No,Premium,Doctor,Disabled,F,Urban,Divorced,Personal,Offer2,Agent,Four-Door Car,Medsize,3
172,Nevada,No,Basic,College,Employed,F,Rural,Divorced,Personal,Offer3,Agent,Four-Door Car,Medsize,3
173,Nevada,No,Basic,College,Unemployed,F,Suburban,Married,Personal,Offer3,Agent,Four-Door Car,Small,2
174,California,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal,Offer2,Call Center,Four-Door Car,Medsize,2
175,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal,Offer2,Call Center,Sports Car,Medsize,2
176,Washington,No,Basic,College,Employed,F,Rural,Married,Personal,Offer2,Agent,SUV,Medsize,2
177,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal,Offer2,Call Center,Two-Door Car,Medsize,3
178,Washington,No,Basic,College,Unemployed,F,Suburban,Single,Personal,Offer3,Web,Two-Door Car,Medsize,3
179,California,No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal,Offer2,Call Center,Sports Car,Small,2
180,California,No,Premium,Bachelor,Unemployed,F,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,2
181,Nevada,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal,Offer3,Branch,Luxury Car,Medsize,3
182,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Offer2,Branch,Four-Door Car,Large,2
183,Nevada,No,Extended,Bachelor,Employed,M,Suburban,Single,Personal,Offer4,Agent,Four-Door Car,Small,2
184,California,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal,Offer1,Agent,SUV,Medsize,3
185,California,No,Basic,High School or Below,Employed,F,Suburban,Single,Personal,Offer3,Call Center,SUV,Small,3
186,California,No,Basic,College,Employed,F,Suburban,Single,Corporate,Offer2,Branch,SUV,Medsize,3
187,Arizona,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal,Offer2,Agent,SUV,Medsize,1
188,California,No,Extended,Bachelor,Employed,F,Urban,Single,Personal,Offer3,Branch,Four-Door Car,Medsize,1
189,Oregon,No,Extended,College,Employed,M,Urban,Married,Personal,Offer3,Branch,Four-Door Car,Medsize,3
190,California,No,Basic,Master,Employed,M,Urban,Married,Special,Offer4,Web,SUV,Medsize,2
191,California,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Special,Offer4,Branch,Two-Door Car,Small,3
192,California,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal,Offer2,Branch,Two-Door Car,Medsize,3
193,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal,Offer4,Agent,Two-Door Car,Small,2
194,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Divorced,Personal,Offer1,Branch,Four-Door Car,Small,2
195,Washington,No,Extended,Bachelor,Employed,F,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Small,3
196,Oregon,No,Premium,High School or Below,Employed,M,Suburban,Single,Corporate,Offer4,Web,Luxury SUV,Medsize,3
197,Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Special,Offer1,Branch,Four-Door Car,Medsize,3
198,Washington,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Personal,Offer3,Branch,Two-Door Car,Medsize,1
199,California,Yes,Extended,College,Employed,M,Suburban,Married,Personal,Offer1,Branch,Four-Door Car,Medsize,1
200,California,No,Premium,Master,Disabled,F,Suburban,Single,Personal,Offer1,Call Center,SUV,Medsize,1
201,Nevada,Yes,Extended,Bachelor,Retired,F,Suburban,Single,Personal,Offer1,Agent,SUV,Medsize,3
202,Arizona,No,Basic,High School or Below,Employed,F,Suburban,Married,Corporate,Offer2,Call Center,Four-Door Car,Medsize,1
203,California,No,Basic,College,Unemployed,M,Suburban,Single,Personal,Offer1,Agent,SUV,Medsize,2
204,California,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal,Offer1,Call Center,Four-Door Car,Medsize,2
205,California,No,Basic,College,Unemployed,M,Suburban,Single,Personal,Offer1,Agent,SUV,Medsize,2
206,California,No,Basic,College,Employed,F,Urban,Married,Personal,Offer2,Branch,Four-Door Car,Medsize,1
207,California,No,Premium,College,Employed,M,Suburban,Married,Corporate,Offer1,Branch,SUV,Small,2
208,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Divorced,Corporate,Offer2,Agent,SUV,Medsize,3
209,Washington,No,Extended,Bachelor,Employed,F,Rural,Married,Personal,Offer3,Web,Four-Door Car,Medsize,3
210,California,No,Extended,High School or Below,Employed,M,Suburban,Single,Personal,Offer2,Agent,Two-Door Car,Small,3
211,California,Yes,Basic,College,Retired,M,Suburban,Single,Special,Offer1,Agent,Four-Door Car,Medsize,3
212,Washington,No,Extended,College,Employed,M,Urban,Married,Corporate,Offer2,Web,Two-Door Car,Small,3
213,California,No,Basic,High School or Below,Employed,F,Urban,Single,Special,Offer1,Agent,Four-Door Car,Medsize,3
214,Arizona,No,Basic,College,Employed,M,Suburban,Divorced,Personal,Offer4,Agent,Four-Door Car,Small,1
215,Oregon,No,Extended,College,Employed,F,Suburban,Married,Corporate,Offer4,Call Center,Four-Door Car,Large,1
216,Oregon,No,Premium,College,Employed,M,Urban,Married,Corporate,Offer4,Agent,Sports Car,Small,3
217,Oregon,Yes,Extended,High School or Below,Disabled,F,Suburban,Married,Special,Offer1,Agent,Two-Door Car,Small,3
218,Washington,Yes,Basic,High School or Below,Unemployed,F,Suburban,Divorced,Personal,Offer1,Web,Sports Car,Medsize,3
219,California,No,Basic,College,Employed,M,Suburban,Married,Personal,Offer2,Branch,Four-Door Car,Medsize,1
220,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal,Offer3,Branch,Four-Door Car,Medsize,2
221,California,No,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal,Offer1,Call Center,Four-Door Car,Medsize,2
222,Nevada,No,Basic,High School or Below,Employed,M,Suburban,Divorced,Personal,Offer1,Call Center,Four-Door Car,Small,1
223,Washington,Yes,Extended,High School or Below,Employed,M,Suburban,Single,Personal,Offer2,Branch,Two-Door Car,Small,3
224,Oregon,No,Basic,College,Disabled,F,Suburban,Married,Personal,Offer2,Call Center,SUV,Small,3
225,Oregon,No,Extended,College,Employed,F,Suburban,Married,Personal,Offer3,Branch,Four-Door Car,Medsize,3
226,Nevada,No,Basic,College,Unemployed,M,Suburban,Single,Personal,Offer1,Branch,Two-Door Car,Medsize,1
227,Nevada,Yes,Basic,High School or Below,Employed,F,Rural,Single,Corporate,Offer2,Agent,Four-Door Car,Medsize,3
228,Arizona,No,Basic,High School or Below,Employed,M,Urban,Married,Corporate,Offer1,Agent,SUV,Small,3
229,California,No,Basic,Bachelor,Disabled,M,Suburban,Married,Corporate,Offer1,Agent,Four-Door Car,Small,1
230,Arizona,Yes,Basic,Bachelor,Unemployed,F,Suburban,Married,Corporate,Offer1,Call Center,Four-Door Car,Medsize,1
231,Arizona,Yes,Basic,College,Employed,M,Urban,Single,Personal,Offer2,Agent,Two-Door Car,Medsize,3
232,Arizona,No,Extended,High School or Below,Employed,M,Urban,Married,Personal,Offer1,Agent,Four-Door Car,Medsize,2
233,Oregon,No,Premium,Bachelor,Unemployed,F,Suburban,Married,Personal,Offer1,Web,SUV,Small,3
234,Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal,Offer3,Call Center,Two-Door Car,Medsize,3
235,California,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal,Offer1,Branch,Two-Door Car,Small,3
236,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal,Offer1,Web,Four-Door Car,Large,2
237,Washington,No,Extended,College,Employed,M,Urban,Divorced,Corporate,Offer2,Branch,SUV,Large,1
